gene,B Han_2025,D Coppola_2011,G Bindea_2013,I P.MacFawn_2024,J Yang_2025,J-X Lei_2024,L Pu_2025,L de Chaisemartin_2011,M Jiao_2025,M Meylan_2022,R Cabrita_2020,R Wu_2021,W Wu_2024,X Liu_2024,X Wang_2024,Y Hou_2023,Y Hua_2025,Y Liu_2024,Y Zhang_2024,Z Gong_2024,Z Xu_2024
HLA-DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HLA-DPB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HLA-DQA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HLA-DQB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HLA-DRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HLA-DRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HLA-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HM13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ICAM2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAM3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICOS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IGFBP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IGHA1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHG1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IGHG2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHG3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHG4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHGP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHM,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
