,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
S100A8,-0.08962371,-0.293141,-0.28818455,-0.29359,-0.28822863,-0.34839353,-0.13117793,-0.4139308,0.4566188,0.32346234,0.07547593,-0.21914023,-0.3059998,0.16594708,0.004184841,-0.3882791,-0.44035605,-0.14243741,-0.36903673,-0.2236301,-0.25182763,-0.5079502,-0.32558516,-0.11231998,-0.3393698,-0.37341347,-0.3395184,-0.024010617,0.42847848,-0.42598328,-0.46026388,-0.10225666,-0.2411739,-0.006881209,-0.095980234,-0.4224548,-0.17568447,-0.63027453,2.0428126,5.5731173
CD33,0.37756813,0.5010065,0.0032642607,-0.055540297,0.22606887,-0.37429443,-0.16277605,-0.6251843,2.1663918,-0.18663381,1.2405573,1.432256,-0.14621454,-0.30597824,-0.5990987,-0.83836865,0.13610229,0.43265748,-0.83836865,-0.1380904,2.492161,1.2989005,-0.83836865,-0.58185375,-0.5192989,-0.83836865,-0.83836865,-0.83836865,0.92235875,-0.83836865,0.24145173,1.0121754,2.9492054,-0.83836865,-0.83836865,-0.83836865,-0.83836865,-0.83836865,-0.83836865,-0.83836865
IRF4,0.5045386,2.4899714,0.23946357,1.2909462,1.0205353,-0.34697685,-0.5009797,-0.5033658,-0.24263215,0.38557985,-0.38442233,0.6270744,0.3858005,-0.2788645,-0.60713613,-0.60713613,-0.35051462,2.048129,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.37387946,0.9830945,-0.60713613,-0.031538874,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.60713613,-0.60713613,0.6600775,-0.60713613,3.9135513,-0.60713613,-0.60713613
GZMB,0.45071268,1.2279333,0.21782626,-0.071411826,1.2903707,-0.28648517,-0.7171579,-0.33984116,1.2092065,1.2674581,-0.07770394,0.8065753,0.2679927,-0.17085885,-0.86179125,-0.69448924,-0.57920074,0.7171475,-0.43865708,-0.7033585,-0.16918512,-0.23096655,-0.9226113,-0.12247259,-0.26126066,-0.5837084,-0.46284327,0.77324456,1.4744247,-0.5693807,-0.9226113,-0.9226113,0.64231443,0.23166695,-0.9226113,-0.9226113,-0.9226113,-0.9226113,4.1447887,-0.9226113
ACTA2,3.7987816,0.5990066,-0.20356198,0.8356549,0.21974885,-0.7484696,-0.1636828,-0.7985641,-0.037622374,2.601609,-0.31547248,0.9780611,0.036798157,-0.17446525,-0.06737001,-0.89059377,-0.36010835,0.65055156,-0.4782953,-0.19716848,-0.6171028,1.002796,-0.27191663,-0.31691515,-0.8969986,1.6991453,-0.23858625,0.009233059,0.29573333,-0.6375,0.8866313,-0.055426847,-0.9834142,-1.1405976,-0.6211338,-0.6033828,-0.6913485,0.17714205,-1.1405976,-1.1405976
TAGLN,1.4634496,0.41130674,-0.06654425,0.33903813,0.07230194,-0.3343434,-0.15865579,-0.3139805,0.058157012,2.0622675,-0.13419838,0.27089643,-0.1928703,-0.5196641,-0.21410239,-0.5150644,-0.3391606,-0.15946017,-0.48173138,0.0006405017,-0.2654709,0.040334072,-0.29876912,-0.24053669,-0.50584227,5.305652,-0.33354372,-0.107809,-0.09993856,-0.3586641,-0.5153267,-0.09328284,-0.5196641,-0.49529365,-0.5196641,-0.27618933,-0.5196641,-0.46247095,-0.4624746,-0.5196641
PDGFRB,2.9665036,1.2648942,0.09790027,0.9504008,0.898007,-0.6285975,-0.7515624,-0.6547198,0.40110713,2.8381755,0.71694845,1.289074,0.0036519745,-0.35488054,-0.200203,-1.0355377,-0.6591644,0.7108405,-0.66186607,-0.23025024,-0.9200255,1.0094427,-0.7683999,-0.31479514,-0.95150477,0.3760713,-0.60541403,-0.15039447,-0.38045472,-0.4828197,0.063466154,0.5677002,-0.92722416,-0.3675168,-0.54321283,-0.30579397,-1.2153268,1.3861347,-1.2153268,-1.2153268
CXCL12,2.9668365,1.879604,0.053145587,1.7108111,1.2724292,-0.87520355,-0.63838536,-0.9932714,0.6896356,1.8657357,0.11029476,1.6507621,-0.07133423,-0.29121098,-0.37091962,-1.1246116,-0.6378231,0.3883293,-0.9297945,-0.7745575,-0.68088317,0.03061332,-0.6952189,-0.74535745,-1.1184574,-0.37228248,-0.45233834,-0.69658256,0.0268157,-0.3133254,0.53092957,0.9269377,-0.99806577,-0.31496963,-0.35684913,-0.1284831,-0.29023805,-0.20736349,-1.3465613,1.3212063
IL6,0.29735783,0.3739652,0.35629535,-0.38923633,0.5680233,-0.5342177,-0.59824497,-0.44890928,0.34760356,3.2428405,1.1027136,0.5752696,-0.6801266,-0.46182346,-0.2328159,-0.276722,-0.3975599,0.6881134,-0.46605283,0.035886023,-0.6801266,0.22816761,-0.6801266,-0.62281287,-0.5728214,-0.38589957,-0.6801266,-0.6801266,-0.6801266,-0.6801266,0.36789694,-0.6801266,-0.6801266,-0.6801266,0.9125627,1.3659563,-0.6801266,3.7661083,-0.6801266,-0.6801266
PECAM1,0.95797634,1.6841573,0.478624,1.570155,0.63121593,-0.56886536,-0.7478563,-0.7810012,1.5939581,3.302448,2.1285775,0.7287824,-0.43000862,-0.123452835,-0.28767762,-0.73019314,-0.67735946,0.45158815,-0.9659851,-0.5301291,-0.31455517,0.5095823,-0.7380219,-0.55895823,-0.7821907,-0.40926406,-0.6648845,-0.33189154,1.0438734,-0.31643808,-0.2196866,0.023700116,-1.2005856,-0.23333876,0.10031776,-0.90217835,-0.60718423,-1.2005856,0.31792268,-1.2005856
VWF,0.2531224,0.4313468,0.372512,0.18154523,0.7311978,-0.5473869,-0.7828578,-0.7291402,0.37962157,4.4704466,2.6378896,0.34340104,-0.3671463,0.07921777,-0.5199503,-0.85696155,-0.6664514,0.46357906,-0.9025102,0.30212626,-0.5064748,-0.18921691,-0.73481923,-0.069276504,-0.8018217,-0.5219776,-0.76789117,-0.46583316,0.094486125,-0.24572204,-0.5615766,0.161702,-0.7659704,-0.28804827,0.94138366,-0.3899313,-0.2792945,0.17413811,0.9447797,-1.0022378
CLDN5,-0.10682961,0.043389212,0.23479551,-0.09713658,0.21806942,-0.3309883,-0.6965431,-0.58498234,0.33953023,4.4397845,3.1299672,-0.102774546,-0.42453817,0.027858678,-0.4135739,-0.70961034,-0.50489384,0.13839951,-0.7490384,0.043980397,-0.6140914,-0.18330668,-0.5836404,-0.38130298,-0.6510431,-0.53325224,-0.5330353,-0.5624157,0.6014152,0.5189573,-0.33740482,-0.42923626,-0.40494958,1.0958301,0.40704703,-0.77338344,-0.49123564,0.020992303,0.7125716,-0.77338344
TIE1,0.99067545,0.7927014,0.19486497,0.6388453,0.3533265,-0.55381405,-0.51476806,-0.4624704,0.4674665,3.557785,2.1440473,-0.3520011,-0.4849689,0.8825211,-0.4450899,-0.76920736,-0.47223875,0.92504066,-0.76920736,0.6656296,-0.76920736,0.5650472,-0.53343093,0.5108484,-0.76920736,-0.3129119,0.6235856,-0.76920736,0.01744454,-0.76920736,-0.76920736,-0.76920736,2.339976,-0.76920736,-0.76920736,-0.76920736,-0.76920736,-0.76920736,-0.76920736,-0.76920736
ENG,1.2432808,0.76777196,0.6260591,0.65277773,0.85255915,-0.7495349,-0.8919133,-0.84938943,1.1991025,3.5302074,1.8538642,0.5258116,-0.4026662,-0.3804507,-0.42557016,-0.8530112,-0.7397109,0.6607243,-0.97124434,-0.14521876,-0.5966178,0.43242055,-0.8272103,-0.09915835,-1.1744156,-0.43776676,-0.616724,-0.66645646,0.22225687,-0.40035173,-0.08069794,-0.15668876,-1.1694585,-0.4188305,0.54238814,0.38652483,-1.0651333,2.0779264,-0.512638,-0.94281626
