group,names,scores,logfoldchanges,pvals,pvals_adj
14,CD74,-15.434204,-1.6010503,9.63814823101014e-54,1.5984430743483452e-50
9,C4BPA,15.250446,3.952161,1.6351235359651867e-52,1.0286054712625139e-49
12,MPEG1,15.158266,4.034439,6.681016343816691e-52,1.3542420128916431e-48
11,IGHA1,-15.144741,-1.9662786,8.207768194377217e-52,1.4973431517002358e-48
15,GNA13,15.004324,3.8885205,6.878814635711916e-51,1.7927173628470356e-47
14,COL3A1,-14.839945,-1.5557227,8.082256654191615e-50,1.2287050678534803e-46
16,IGKC,-14.7985735,-1.3622767,1.4962203756833289e-49,9.098516104530322e-46
19,NNMT,14.710476,4.7383366,5.521784091921502e-49,3.3577969062974654e-45
13,IGHG1,-14.608132,-1.3964081,2.4925593994102694e-48,5.052417902604616e-45
9,IFITM3,14.6057,1.0447348,2.5831823609520352e-48,1.5708331936949325e-45
14,IGHG1,-14.58404,-1.5062214,3.5488217225036375e-48,4.980088821817989e-45
14,ELF3,14.427777,1.2129706,3.460553202942227e-47,4.509348005805361e-44
10,S100A6,14.352219,0.70135903,1.031824562456875e-46,1.5686312910750642e-43
10,COL1A2,-14.239211,-1.3950514,5.2314412763639964e-46,7.341321784977567e-43
16,AKR1B1,14.139583,4.3663383,2.1656423207500682e-45,9.876953214360873e-42
13,CD74,-14.088542,-1.3247268,4.4668856186430384e-45,8.148939434090496e-42
7,MUC1,14.00928,1.111304,1.3678397701624282e-44,1.1882619489082465e-41
10,MT-CO3,13.992048,0.474971,1.7431910720104644e-44,2.271502480477636e-41
12,COL3A1,-13.886894,-1.2040681,7.606229877199434e-44,1.387604516497493e-40
10,VIM,-13.870924,-1.0108274,9.504398472071493e-44,1.155924942173335e-40
10,APOE,-13.804966,-1.388493,2.378857279305587e-43,2.712343334148239e-40
17,IGKC,-13.790662,-1.2974348,2.9008537862212764e-43,2.6460137811017373e-39
7,TIMP1,-13.790524,-1.2745999,2.906442844400795e-43,2.4101016732001683e-40
12,IGHG1,-13.654217,-1.1767727,1.9052702230781402e-42,3.1598040617831376e-39
13,S100A6,13.646377,0.8923128,2.121696526575336e-42,3.5187372485739865e-39
11,A2M,-13.62296,-1.6503601,2.92469511708955e-42,4.850473911005878e-39
11,S100A6,13.552808,0.7889692,7.625633869689738e-42,1.1592869890395824e-38
7,IGHA1,-13.345232,-0.94176316,1.262767919324141e-40,1.0015945718361002e-37
15,IGHG1,-13.3052845,-1.365226,2.1566970565125218e-40,4.918078050244742e-37
17,BIRC3,13.288296,4.4132276,2.706742556141749e-40,1.6459701483897977e-36
7,COL6A3,-13.24054,-1.5507679,5.118005225971158e-40,3.890323722391326e-37
14,TMSB10,13.20384,0.8564084,8.33740268005501e-40,1.0139949139482905e-36
15,NFKB2,13.045768,3.9692492,6.717675168797038e-39,1.3616727567151595e-35
7,NAPSA,12.956387,1.1088116,2.1619523005349875e-38,1.5776198327463911e-35
15,CD74,-12.771965,-1.2720203,2.3514239453392086e-37,4.289702703482318e-34
13,COL3A1,-12.681905,-1.1887434,7.449897365693886e-37,1.132570647019613e-33
14,ELL2,12.615516,3.3750107,1.7341783294638037e-36,1.9772884540255106e-33
7,SPARC,-12.601591,-1.0226781,2.0692645704945566e-36,1.4519074445973921e-33
11,MT-CO3,12.594246,0.54567724,2.271193267393987e-36,3.187182982851423e-33
7,CEACAM5,-12.517041,-1.1815058,6.023919787431925e-36,4.0701618030415046e-33
7,CTSB,-12.50148,-0.93629724,7.327376074636115e-36,4.774047204628095e-33
16,CD74,-12.4458475,-1.5442259,1.4731205900449807e-35,5.374827784838117e-32
7,SLPI,12.3923645,1.511578,2.874411333528488e-35,1.8082029640538002e-32
10,COL1A1,-12.348038,-0.8168298,4.991396713520707e-35,5.356355896750486e-32
12,CD74,-12.329426,-1.0105608,6.289325239548682e-35,9.561346695423884e-32
